abilities sim: 116,287,920 round-sims in 40.6s

== calm ==
  arm       lev  liq | fire%  | liq% base→arm  | houseEV% base→arm | Δhouse% ±95CI
pinkSL    1500  0.10 |  45.66 |  29.56→   5.63 |   2.65→   5.99 |  3.340±2.048
pinkSL    2000  0.10 |  57.51 |  39.47→   5.68 |  -1.44→   4.12 |  5.559±2.672
pinkSL    3000  0.10 |  47.68 |  51.30→  15.51 | -11.81→  -1.22 | 10.592±2.799
pinkSL      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkSL     200  0.20 |   0.52 |   0.00→   0.00 |   5.00→   5.03 |  0.027±0.043
pinkSL     500  0.20 |  10.88 |   2.86→   0.94 |   5.26→   5.49 |  0.229±0.712
pinkSL    1000  0.20 |  35.14 |  22.13→   4.33 |   7.57→   6.34 | -1.230±1.662
pinkSL    1500  0.20 |  37.46 |  39.47→  13.84 |   9.55→   7.37 | -2.181±1.573
pinkSL    2000  0.20 |  47.68 |  51.30→  15.51 |  10.04→   5.77 | -4.270±2.092
pinkSL    3000  0.20 |   0.00 |  63.19→  63.19 |   6.77→   6.77 |  0.000±0.000
pinkTP      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkTP     200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkTP     500  0.10 |   1.33 |   1.76→   1.76 |   5.00→   4.96 | -0.040±0.137
pinkTP    1000  0.10 |  11.52 |  16.44→  16.16 |   5.04→   4.25 | -0.789±1.487
pinkTP    1500  0.10 |  28.24 |  29.56→  28.24 |   2.65→   0.88 | -1.777±3.501
pinkTP    2000  0.10 |  36.94 |  39.47→  36.94 |  -1.44→  -3.68 | -2.242±5.408
pinkTP    3000  0.10 |  44.94 |  51.30→  44.94 | -11.81→ -13.90 | -2.097±8.906
pinkTP      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkTP     200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkTP     500  0.20 |   1.33 |   2.86→   2.86 |   5.26→   5.22 | -0.040±0.137
pinkTP    1000  0.20 |  11.45 |  22.13→  21.80 |   7.57→   6.76 | -0.810±1.488
pinkTP    1500  0.20 |  27.48 |  39.47→  37.96 |   9.55→   7.85 | -1.698±3.524
pinkTP    2000  0.20 |  34.61 |  51.30→  47.96 |  10.04→   7.28 | -2.759±5.508
pinkTP    3000  0.20 |  39.60 |  63.19→  55.18 |   6.77→   2.27 | -4.494±8.179
skull       50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull      200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull      500  0.10 |   1.68 |   1.76→   1.42 |   5.00→   4.94 | -0.056±0.077
skull     1000  0.10 |  15.80 |  16.44→  13.86 |   5.04→   4.31 | -0.732±0.328
skull     1500  0.10 |  28.84 |  29.56→  25.64 |   2.65→   0.21 | -2.441±1.070
skull     2000  0.10 |  38.79 |  39.47→  34.82 |  -1.44→  -5.11 | -3.676±1.501
skull     3000  0.10 |  50.59 |  51.30→  45.55 | -11.81→ -19.30 | -7.497±2.620
skull       50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull      200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull      500  0.20 |   2.65 |   2.86→   2.25 |   5.26→   5.11 | -0.151±0.093
skull     1000  0.20 |  21.42 |  22.13→  19.52 |   7.57→   6.47 | -1.102±0.377
skull     1500  0.20 |  38.79 |  39.47→  34.82 |   9.55→   5.80 | -3.750±1.372
skull     2000  0.20 |  50.59 |  51.30→  45.55 |  10.04→   3.42 | -6.621±2.107
skull     3000  0.20 |  62.66 |  63.19→  58.21 |   6.77→  -2.02 | -8.791±2.594
skull1      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1     200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1     500  0.10 |   1.68 |   1.76→   1.58 |   5.00→   4.98 | -0.017±0.014
skull1    1000  0.10 |  15.80 |  16.44→  14.63 |   5.04→   4.47 | -0.569±0.317
skull1    1500  0.10 |  28.84 |  29.56→  26.49 |   2.65→   0.55 | -2.106±1.037
skull1    2000  0.10 |  38.79 |  39.47→  35.44 |  -1.44→  -4.81 | -3.375±1.475
skull1    3000  0.10 |  50.59 |  51.30→  46.55 | -11.81→ -18.44 | -6.628±2.605
skull1      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1     200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1     500  0.20 |   2.65 |   2.86→   2.34 |   5.26→   5.13 | -0.126±0.083
skull1    1000  0.20 |  21.42 |  22.13→  20.02 |   7.57→   6.63 | -0.939±0.374
skull1    1500  0.20 |  38.79 |  39.47→  35.44 |   9.55→   6.15 | -3.400±1.347
skull1    2000  0.20 |  50.59 |  51.30→  46.55 |  10.04→   4.26 | -5.778±2.078
skull1    3000  0.20 |  62.66 |  63.19→  59.27 |   6.77→  -0.53 | -7.292±2.419
skull1s     50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1s    200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1s    500  0.10 |   1.72 |   1.76→   1.68 |   5.00→   4.99 | -0.008±0.010
skull1s   1000  0.10 |  16.08 |  16.44→  15.14 |   5.04→   4.55 | -0.490±0.304
skull1s   1500  0.10 |  29.17 |  29.56→  27.45 |   2.65→   0.91 | -1.745±0.984
skull1s   2000  0.10 |  39.12 |  39.47→  36.86 |  -1.44→  -4.02 | -2.583±1.376
skull1s   3000  0.10 |  50.95 |  51.30→  48.77 | -11.81→ -15.90 | -4.093±2.294
skull1s     50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1s    200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1s    500  0.20 |   2.76 |   2.86→   2.55 |   5.26→   5.17 | -0.086±0.073
skull1s   1000  0.20 |  21.71 |  22.13→  20.83 |   7.57→   6.90 | -0.671±0.319
skull1s   1500  0.20 |  39.12 |  39.47→  36.86 |   9.55→   7.03 | -2.517±1.221
skull1s   2000  0.20 |  50.95 |  51.30→  48.77 |  10.04→   6.58 | -3.463±1.768
skull1s   3000  0.20 |  62.88 |  63.19→  61.16 |   6.77→   2.91 | -3.857±1.712
skullCashCap   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashCap  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashCap  500  0.10 |   1.76 |   1.76→   0.00 |   5.00→   4.94 | -0.059±0.041
skullCashCap 1000  0.10 |  16.35 |  16.44→   0.00 |   5.04→   4.06 | -0.982±0.248
skullCashCap 1500  0.10 |  29.50 |  29.56→   0.00 |   2.65→   1.02 | -1.635±0.455
skullCashCap 2000  0.10 |  39.40 |  39.47→   0.00 |  -1.44→  -3.69 | -2.252±0.525
skullCashCap 3000  0.10 |  51.25 |  51.30→   0.00 | -11.81→ -14.60 | -2.793±0.595
skullCashCap   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashCap  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashCap  500  0.20 |   2.85 |   2.86→   0.00 |   5.26→   4.89 | -0.370±0.185
skullCashCap 1000  0.20 |  22.06 |  22.13→   0.00 |   7.57→   4.44 | -3.135±0.491
skullCashCap 1500  0.20 |  39.40 |  39.47→   0.00 |   9.55→   3.09 | -6.452±0.758
skullCashCap 2000  0.20 |  51.25 |  51.30→   0.00 |  10.04→   0.98 | -9.060±0.903
skullCashCap 3000  0.20 |  63.15 |  63.19→   0.00 |   6.77→  -4.16 |-10.929±1.225
skullCashV1   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV1  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV1  500  0.10 |   1.76 |   1.76→   0.00 |   5.00→   4.94 | -0.059±0.041
skullCashV1 1000  0.10 |  16.35 |  16.44→   0.00 |   5.04→   4.05 | -0.996±0.254
skullCashV1 1500  0.10 |  29.50 |  29.56→   0.00 |   2.65→   0.53 | -2.120±0.902
skullCashV1 2000  0.10 |  39.40 |  39.47→   0.00 |  -1.44→  -4.59 | -3.155±1.335
skullCashV1 3000  0.10 |  51.25 |  51.30→   0.00 | -11.81→ -16.09 | -4.286±1.859
skullCashV1   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV1  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV1  500  0.20 |   2.85 |   2.86→   0.00 |   5.26→   4.89 | -0.370±0.185
skullCashV1 1000  0.20 |  22.06 |  22.13→   0.00 |   7.57→   4.31 | -3.266±0.521
skullCashV1 1500  0.20 |  39.40 |  39.47→   0.00 |   9.55→   2.19 | -7.354±1.262
skullCashV1 2000  0.20 |  51.25 |  51.30→   0.00 |  10.04→  -0.37 |-10.407±1.563
skullCashV1 3000  0.20 |  63.15 |  63.19→   0.00 |   6.77→  -6.89 |-13.657±1.881
skullCashV2   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV2  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV2  500  0.10 |   1.76 |   1.76→   1.40 |   5.00→   4.96 | -0.033±0.031
skullCashV2 1000  0.10 |  16.35 |  16.44→  12.23 |   5.04→   4.28 | -0.761±0.236
skullCashV2 1500  0.10 |  29.50 |  29.56→  21.97 |   2.65→   0.53 | -2.120±0.902
skullCashV2 2000  0.10 |  39.40 |  39.47→  29.21 |  -1.44→  -4.59 | -3.155±1.335
skullCashV2 3000  0.10 |  51.25 |  51.30→  38.06 | -11.81→ -16.09 | -4.286±1.859
skullCashV2   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV2  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV2  500  0.20 |   2.85 |   2.86→   2.20 |   5.26→   5.12 | -0.139±0.077
skullCashV2 1000  0.20 |  22.06 |  22.13→  17.04 |   7.57→   5.90 | -1.674±0.420
skullCashV2 1500  0.20 |  39.40 |  39.47→  29.21 |   9.55→   4.83 | -4.715±1.289
skullCashV2 2000  0.20 |  51.25 |  51.30→  38.06 |  10.04→   3.13 | -6.908±1.610
skullCashV2 3000  0.20 |  63.15 |  63.19→  49.41 |   6.77→  -2.32 | -9.089±1.933
skullGate   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullGate  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullGate  500  0.10 |   1.68 |   1.76→   1.42 |   5.00→   4.94 | -0.056±0.077
skullGate 1000  0.10 |  15.80 |  16.44→  13.86 |   5.04→   4.31 | -0.732±0.328
skullGate 1500  0.10 |   0.00 |  29.56→  29.56 |   2.65→   2.65 |  0.000±0.000
skullGate 2000  0.10 |   0.00 |  39.47→  39.47 |  -1.44→  -1.44 |  0.000±0.000
skullGate 3000  0.10 |   0.00 |  51.30→  51.30 | -11.81→ -11.81 |  0.000±0.000
skullGate   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullGate  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullGate  500  0.20 |   2.65 |   2.86→   2.25 |   5.26→   5.11 | -0.151±0.093
skullGate 1000  0.20 |  21.42 |  22.13→  19.52 |   7.57→   6.47 | -1.102±0.377
skullGate 1500  0.20 |   0.00 |  39.47→  39.47 |   9.55→   9.55 |  0.000±0.000
skullGate 2000  0.20 |   0.00 |  51.30→  51.30 |  10.04→  10.04 |  0.000±0.000
skullGate 3000  0.20 |   0.00 |  63.19→  63.19 |   6.77→   6.77 |  0.000±0.000
skullMini   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMini  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMini  500  0.10 |   1.76 |   1.76→   0.23 |   5.00→   4.17 | -0.822±0.558
skullMini 1000  0.10 |  16.44 |  16.44→   4.50 |   5.04→  -3.56 | -8.606±2.570
skullMini 1500  0.10 |  29.56 |  29.56→  13.31 |   2.65→ -12.30 |-14.959±2.893
skullMini 2000  0.10 |  39.47 |  39.47→  18.47 |  -1.44→ -25.26 |-23.820±3.900
skullMini 3000  0.10 |  51.30 |  51.30→  34.37 | -11.81→ -41.70 |-29.887±5.151
skullMini   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMini  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMini  500  0.20 |   2.86 |   2.86→   0.96 |   5.26→   4.23 | -1.026±0.505
skullMini 1000  0.20 |  22.13 |  22.13→   6.14 |   7.57→  -3.43 |-10.997±2.303
skullMini 1500  0.20 |  39.47 |  39.47→  18.47 |   9.55→ -10.81 |-20.358±3.146
skullMini 2000  0.20 |  51.30 |  51.30→  24.37 |  10.04→ -21.24 |-31.277±4.012
skullMini 3000  0.20 |  63.19 |  63.19→  46.91 |   6.77→ -24.87 |-31.636±4.910
skullMiniHalf   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMiniHalf  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMiniHalf  500  0.10 |   1.76 |   1.76→   0.00 |   5.00→   4.15 | -0.844±0.565
skullMiniHalf 1000  0.10 |  16.44 |  16.44→   1.37 |   5.04→  -3.17 | -8.208±2.038
skullMiniHalf 1500  0.10 |  29.56 |  29.56→   6.52 |   2.65→ -11.93 |-14.582±2.404
skullMiniHalf 2000  0.10 |  39.47 |  39.47→  13.44 |  -1.44→ -20.63 |-19.196±2.656
skullMiniHalf 3000  0.10 |  51.30 |  51.30→  24.37 | -11.81→ -38.46 |-26.655±3.224
skullMiniHalf   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMiniHalf  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMiniHalf  500  0.20 |   2.86 |   2.86→   0.11 |   5.26→   3.95 | -1.306±0.649
skullMiniHalf 1000  0.20 |  22.13 |  22.13→   3.10 |   7.57→  -2.93 |-10.506±1.937
skullMiniHalf 1500  0.20 |  39.47 |  39.47→  13.44 |   9.55→  -7.94 |-17.488±2.273
skullMiniHalf 2000  0.20 |  51.30 |  51.30→  18.83 |  10.04→ -15.03 |-25.068±2.804
skullMiniHalf 3000  0.20 |  63.19 |  63.19→  34.29 |   6.77→ -23.47 |-30.233±3.027
skullR150   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR150  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR150  500  0.10 |   1.76 |   1.76→   1.61 |   5.00→   4.97 | -0.025±0.031
skullR150 1000  0.10 |  16.44 |  16.44→  14.97 |   5.04→   4.81 | -0.236±0.123
skullR150 1500  0.10 |  29.56 |  29.56→  27.12 |   2.65→   2.21 | -0.441±0.199
skullR150 2000  0.10 |  39.47 |  39.47→  36.35 |  -1.44→  -2.00 | -0.566±0.228
skullR150 3000  0.10 |  51.30 |  51.30→  48.09 | -11.81→ -12.41 | -0.602±0.253
skullR150   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR150  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR150  500  0.20 |   2.86 |   2.86→   2.54 |   5.26→   5.18 | -0.074±0.051
skullR150 1000  0.20 |  22.13 |  22.13→  20.55 |   7.57→   7.17 | -0.402±0.156
skullR150 1500  0.20 |  39.47 |  39.47→  36.35 |   9.55→   8.69 | -0.862±0.328
skullR150 2000  0.20 |  51.30 |  51.30→  48.09 |  10.04→   9.14 | -0.898±0.358
skullR150 3000  0.20 |  63.19 |  63.19→  60.48 |   6.77→   6.00 | -0.764±0.298
skullR400   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR400  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR400  500  0.10 |   1.76 |   1.76→   1.61 |   5.00→   4.95 | -0.042±0.058
skullR400 1000  0.10 |  16.44 |  16.44→  14.97 |   5.04→   4.70 | -0.344±0.179
skullR400 1500  0.10 |  29.56 |  29.56→  27.12 |   2.65→   1.95 | -0.707±0.326
skullR400 2000  0.10 |  39.47 |  39.47→  36.35 |  -1.44→  -2.37 | -0.934±0.386
skullR400 3000  0.10 |  51.30 |  51.30→  48.09 | -11.81→ -12.77 | -0.962±0.408
skullR400   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR400  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR400  500  0.20 |   2.86 |   2.86→   2.54 |   5.26→   5.15 | -0.106±0.087
